H2S,N2,CO2,C1,C2,C3,C4,C5,C6,C7+,MWC7+,Temp,Psat
0.000000,0.004500,0.016400,0.458500,0.071500,0.067400,0.039500,0.026800,0.025200,0.290200,216.182551,387.350000,255.600000
0.000000,0.000000,0.000000,0.467800,0.087700,0.074400,0.040100,0.025600,0.040200,0.264000,158.000000,373.150000,200.068027
0.000000,0.003000,0.009000,0.534700,0.114600,0.087900,0.045600,0.020900,0.015100,0.169200,173.000000,353.150000,303.401361
0.000000,0.000700,0.030700,0.509500,0.078100,0.049400,0.037700,0.024800,0.039100,0.824000,201.500000,409.300000,304.500000
0.000000,0.003900,0.017400,0.205500,0.073100,0.053400,0.046500,0.078500,0.054800,0.466900,312.458109,369.000000,99.000000
0.000000,0.000300,0.009700,0.416400,0.108200,0.075200,0.045000,0.030000,0.024300,0.290800,208.000000,389.261111,208.775510
0.000000,0.000000,0.000100,0.310000,0.104100,0.118700,0.073200,0.044100,0.025500,0.324300,199.000000,327.594444,110.204082
0.000000,0.002000,0.008000,0.229000,0.072000,0.074000,0.068000,0.059000,0.048000,0.440000,257.808550,374.850000,96.900000
0.000000,0.001000,0.009300,0.123910,0.047300,0.062510,0.058600,0.054400,0.048500,0.594470,242.827666,373.150000,57.600000
0.000000,0.009000,0.014900,0.515400,0.065700,0.048300,0.030700,0.023800,0.021700,0.270500,265.000000,363.705556,310.612245
0.006900,0.000800,0.013700,0.359700,0.086700,0.059400,0.029700,0.015000,0.031000,0.397100,274.000000,349.055556,172.713663
0.000000,0.003100,0.000600,0.149900,0.011300,0.002800,0.007400,0.004200,0.004800,0.815900,343.000000,350.150000,47.000000
0.000000,0.004030,0.010000,0.453960,0.042020,0.008870,0.010790,0.009410,0.010110,0.450810,250.529957,344.750000,239.000000
0.000000,0.008800,0.013400,0.056300,0.025100,0.046000,0.073100,0.059900,0.047100,0.670300,224.000000,326.483333,25.578231
0.000000,0.003300,0.001900,0.354200,0.033600,0.009000,0.009500,0.004000,0.007200,0.577300,255.000000,343.705556,156.938776
0.000000,0.007900,0.001000,0.247900,0.068400,0.065000,0.053700,0.040900,0.036700,0.478500,227.000000,329.816667,95.170068
0.000000,0.009000,0.001600,0.471200,0.059700,0.046200,0.034900,0.025500,0.021900,0.330000,217.000000,347.594444,230.884354
0.000000,0.016500,0.002100,0.362100,0.084300,0.086900,0.057600,0.037500,0.029100,0.323900,310.987081,365.150000,173.400000
0.000000,0.000100,0.013800,0.321000,0.033605,0.046195,0.048930,0.029770,0.024600,0.482000,212.179504,346.150000,133.600000
0.000000,0.000600,0.008100,0.313400,0.074200,0.056800,0.028200,0.016300,0.026400,0.476000,270.000000,328.705556,119.115646
0.000000,0.002910,0.004810,0.178130,0.014540,0.029140,0.038960,0.041940,0.039490,0.650080,294.020000,373.200000,61.500000
0.000000,0.003600,0.010600,0.505000,0.045400,0.009000,0.011500,0.008900,0.016000,0.390000,291.000000,342.038889,251.020408
0.003400,0.001000,0.013200,0.088600,0.041300,0.054100,0.039100,0.034500,0.038100,0.686700,243.000000,354.611111,46.677505
0.000200,0.003100,0.002800,0.068000,0.019800,0.040100,0.066200,0.065700,0.066500,0.667600,237.000000,335.722222,25.786391
0.000000,0.003400,0.014800,0.256100,0.000400,0.000200,0.000500,0.000400,0.003300,0.720900,533.600000,322.150000,58.557135
0.000000,0.001600,0.009100,0.364700,0.096700,0.069500,0.053700,0.028500,0.043300,0.332900,218.000000,378.000000,181.675725
0.000000,0.001000,0.011600,0.329300,0.077800,0.060600,0.037300,0.029200,0.037000,0.416200,279.000000,329.261111,122.789116
0.000000,0.002000,0.019000,0.317000,0.072000,0.071000,0.065000,0.051000,0.041000,0.362200,204.619809,394.250000,153.600000
0.000000,0.016400,0.000800,0.284000,0.071600,0.104800,0.084000,0.038200,0.040500,0.359700,252.000000,328.150000,116.190476
0.000000,0.003400,0.008400,0.492300,0.063200,0.044600,0.030400,0.022600,0.020600,0.830000,230.300000,366.500000,274.500000
0.000000,0.010400,0.000000,0.130300,0.083400,0.089900,0.071600,0.052000,0.053900,0.508500,274.000000,307.594444,47.346939
0.000000,0.000400,0.012100,0.189200,0.000400,0.000400,0.000800,0.001000,0.002300,0.793400,530.200000,322.150000,55.200000
